"category","room_count","bathroom_count","size","type","price","city","region"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Ariana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.143560724465571,"Ariana","Sidi Thabet"
"Maisons et Villas",1.83578450634928,1,1.83393986917612,"À Vendre",-0.114128240487212,"Ariana","Ghazela"
"Maisons et Villas",0.302406629355864,1,1.0427161456635,"À Vendre",0.410620197234818,"Ariana","Jardins D'el Menzah"
"Appartements",-1.74209720663536,1,-1.19453714151011,"À Louer",-0.789741854054326,"Ariana","Ennasr"
"Appartements",-1.74209720663536,1,-0.867134221435921,"À Louer",-0.789039065968091,"Ariana","La Soukra"
"Appartements",0.302406629355864,1,-0.99445757924255,"À Vendre",-0.254685857734185,"Ariana","Chotrana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.70579119345346,"Ariana","La Soukra"
"Appartements",-0.719845288639747,1,-0.194139330172315,"À Louer",-0.787867752491033,"Ariana","Jardins D'el Menzah"
"Appartements",-1.74209720663536,1,-1.4673729082386,"À Louer",-0.792084481008442,"Ariana","Borj Louzir"
"Appartements",-0.719845288639747,1,-0.0122488190199886,"À Vendre",-0.662302947750405,"Ariana","Jardins D'el Menzah"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.442096014063481,"Ariana","Raoued"
"Maisons et Villas",-0.719845288639747,1,-0.103194074596152,"À Vendre",-0.428040252338784,"Ariana","Autres villes"
"Appartements",-0.719845288639747,1,-0.376029841324641,"À Louer",-0.789273328663503,"Ariana","Ariana Ville"
"Bureaux et Plateaux",1.32465854735147,1,1.83393986917612,"À Louer",-0.779434295456215,"Ariana","Autres villes"
"Magasins, Commerces et Locaux industriels",-1.74209720663536,1,-0.557920352476967,"À Louer",-0.790444642140561,"Ariana","Jardins D'el Menzah"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.395243474981157,"Ariana","Raoued"
